1,4061927,"Smith, Jessica Noel",,S5325,J2542,S53,25c9d464e3ff2957533546aa92b397ed
2,4,"Short, Too",,S63,T263,,4e26116e5f9800cef90c8f8c38de2584
3,2701136,"Abdul-Hamid, Jaffar",,A1345,J1613,,fb5126fe9992e13156c636d726cec257
4,2701136,"Al-Hamid, Jaffar Abd",,A4532,J1613,A453,179ad5f75c84c4bddd6733c66b6b0bb7
5,15,"Viera, Michael 'Power'",,V6524,M2416,V6,354cea2b99f8b1f745ea6092eefa2bd7
6,19,Buguelo,,B24,,,58514bbd66ce4d1da4e18bf8d348a15f
7,3564316,"Seigal, Jason",,S2425,J2524,S24,580ac2a3356b6186bbe876cb0e4087a7
8,59,"Starks, Johnny",,S3625,J5236,S362,f05bc5fab74cc0106f8942f51c9ad39d
9,68,Monkey,,M52,,,4126964b770eb1e2f3ac01ff7f4fd942
10,69,'Morità',,M63,,,3df36469bd82f19b816b36bc4d863eaa
11,72,Mark'Oh,,M62,,,391da8cc4741c9e7b7d9265fcad7f680
12,3564319,"Friedberg, Shaun",,F6316,S5163,,6b4a7c8f95e0fad958b369b5e261fa21
13,3564319,"friedberg, shaun",,F6316,S5163,,46ec203e1dfe14be65af33100d79cb1b
14,85,"Troupe, the 'Stretch' Cox",,T6132,T2363,T61,0f9eabbe9fd507a7476a44d9300595a4
15,86,"Hart, Maarten",,H6356,M6356,H63,c91e32e61bbe03bb728d0fbcf0fcd5d1
16,92,"Hooft, Drs. Dick 't",,H1362,D6232,H13,b655ab359f02edf5bbd6a741fd77ab02
17,93,"Hooft, Prof. Ir. 't",,H1316,P6163,H13,f6ea3ad66d1269548b8ae76f6fc67cc9
18,94,"t'Hooft, Maarten",,T1356,M6353,T13,930462751ccc755fc58d51bd294d8dd2
19,95,"t'Hooft, Quinten",,T1325,Q5353,T13,004596df82087946b75f70088a9e7b93
20,113,N'Sync,,N252,,,9530df869ee451ff8e9dd1367e8fca15
21,157,"Special, 38",,S124,,,0dcbefda68bec8d910187aea1aed7d21
22,161,Todd-1,,T3,,,b1a94016b727b1c2084f390da4a8cd36
23,163,"AG, 1. Wiener Pawlatschen",,A2561,W5614,A2,2014e153625797af3efa5c33712b7ec6
24,182,"Jones, Nick",,J5252,N252,J52,c13daf86dfa053285e0944eedf299383
25,192,"Lovat, Lord",,L1346,L6341,L13,5d57e1539618f565614c9f809541fa0c
26,207,"Posse, Insane Clown",,P2525,I5252,P2,80522a5e0c697c2a0e170d5822bd203c
27,207,"Posse, Shaggy 2 Dope of Insane Clown",,P2315,S2315,P2,fea9dacdd681869f4331fd22e0d26b46
28,216,2-ply,,P4,,,f75c89146404a22d582ea6194da9d1de
29,216,2Ply,,P4,,,d6d38052ead64bb8a5423997904dbd1a
30,216,"Ply, 2",,P4,,,2e05dd511f4d0d34d0d0669fe48be5bf
31,216,"Ply, Two",,P43,T14,P4,b2e344169a6c26d25d147552d17a6de3
32,2701154,T-2000,,T,,,40d67e1b09b68eec78c451e0b8fbb54c
33,228,"22, CPM",,C15,,,9388a03e0cab7fded6fa343197f15a9e
34,230,"Pistepirkko, 22",,P2316,,,13b7d47eeef7af8005e7501e877f169c
35,233,"Jackson, Marquise",,J2562,M625,J25,7da31e3e9db23ec00f877ef511283bc9
36,248,"Karim, Iman Benjamin",,K6515,I5152,K65,e68f10e14f2e4c05778972383d3cb70d
37,1739620,3LW,,L,,,02160726ae9e415a8acabdc10d9665bd
38,260,"Z'widern, Die 3",,Z3653,D2365,Z365,f368dc74d93cab9ea9048f3c58b98b79
39,266,"Mars, Thirty Seconds to",,M6236,T6325,M62,19aa67a919f884e2f011a7034f23da8a
40,3564339,"s.b.j., Inspector 34",,S1252,I5212,S12,fe3892e327a63f9ce541a88e2767649c
41,3564339,"sbj, Inspector 34",,S1252,I5212,S12,feabb0876546690146283a999277dd93
42,1739623,"4Ever, Diamond",,E1635,D5316,E16,ca138a718ed849f7f83368bd56a82b74
43,1739623,Diamond,,D53,,,8f7671185d590914ac21c7511767b699
44,1739623,"Forever, Diamond",,F6163,D5316,F616,7417709fb81dc2e4d93b6b3c4edb1c83
45,284,"Mayrhofner, 4 Holterbuam & Die",,M6156,H4361,,84a38bcc6091ee5b55dd7291d466b69d
46,3316880,4-EVER,,E16,,,1bf72bb7f4e8d0b294f9396fd481a39d
47,1739625,"'42', Charla Miss",,C6452,,,6170f0bdac73de61033a5236ea6bd272
48,1739626,"Candy, Cotton",,C5323,C3525,C53,e619ec67b1f050ab66d28049009a82a7
49,1739626,"Mountains, Misty",,M5352,M2353,,80ee9298fbedfaedd6e1f4d1bfa7f1ed
50,306,"Band, 48th Highlanders Pipe",,B5324,T2453,B53,6baefa6df19672ae34a770281ab21661
51,318,5angels,,A5242,,,493e6bff7f80a876832655140e3a15ca
52,333,"Five, Johnny",,F125,J51,F1,2e427e64dc5ac79c72e2660997e2b2de
53,333,J5,,J,,,5707c951188f82074eb8ca32a5ae8328
54,339,G-Unit,,G53,,,eed9fac900d9755419448144775de9e0
55,339,"Jackson, Curtis '50 Cent'",,J2526,C6325,J25,3f6d11ab81023e84dbb57ba5ffb310fe
56,339,"Jackson, Curtis '50 cent'",,J2526,C6325,J25,d1df6299e55721c84a4fa9fcd2f0e579
57,339,"Jackson, Curtis",,J2526,C6325,J25,5aa9816ffe324350b788c4fc9f59676d
58,346,"Family, 5sta",,F5423,S3154,F54,aca4cb396ed9fd13558c4a9f4f496bd5
59,348,"Fifth Dimension, The",,F1352,T1352,,421708576254f3ecf71de6499bf5fa09
