80889,(#1.66),,7,1980,,,80815,1,66,,4de45f35edf0b753c54ab72dcbe68bb5
5156,Josie Duggar's 1st Shoes,,7,2010,,J2326,5022,4,13,,8d492850166137b550ceb0e9a5b46086
197772,(#2.8),,7,1962,,,197751,2,8,,152b0f7213dd467760823b0d6387a6ec
111913,(2012-09-13),,7,2012,,,111095,,,,daf144630ef1ab1cd5d1d028b406cdcf
117556,(#1.1042),,7,,,,117506,1,1042,,be62adfea75e456d47ddab5c68ac96b0
40704,Anniversary,,7,1971,,A5162,40698,4,9,,5e12ce73fac1d1dcf94136b6e9acd8f8
164312,(#13.60),,7,1997,,,164254,13,60,,2d7b85508041bc8b1e4b576f328727b9
149337,Mellody Hobson,,7,2005,,M4312,149328,1,8,,5bf869eaffa411fdc51e06c2020952d5
32020,Kiss Me Kate,,7,2011,,K2523,32014,1,10,,293e8c75c7f35a4035abf617962be5a9
36858,(2012-09-11),,7,2012,,,36138,,,,7c4d73fbab6bf1bbf3cb3958c5f975a9
112085,The Best of Olivia,,7,2008,,B2314,111095,1,762,,1b8dc7b88bba29abade0df92564d0c69
25704,Macauley's Cure,,7,1966,,M2426,25696,1,34,,295cd3e29779b6ae1550fe3817cfea39
49634,Discriminación en el lenguaje,,7,1998,,D2652,49611,,,,7a865a589dbaec16d2e4f5a0f068e9ae
37608,The Eye of Ra: Part 2,,7,1971,,E1616,37579,2,11,,faebb738a1a761ed8928cb4b65367036
92382,Shinkai no akuma,,7,2011,,S5252,92364,1,11,,e9f24b4c2878e2b099931fbd0dc80914
7532,"Beautiful, Married & Missing",,7,2009,,B3145,7383,,,,890adf0e8ff5ba69b8f6dc7b0dce84e7
5522,Game 2,,7,1951,,G5,5520,,,,4b042601dbe4f50d6691a7d41e703941
33423,(2012-05-30),,7,2012,,,33102,,,,08098b9e95d2ea3ed513c4e7665e68cf
165729,Blowout,,2,2004,,B43,,,,2004-????,d047de6e356eef4efcc36541cb121a61
73362,The 500 Percent Club,,7,2012,,P6253,73295,,,,249db59011a04a4d3454c5985559b11c
122463,Christmas Special,,7,2006,,C6235,122400,8,11,,c848c27c04725bef4794a0178b4a6660
37110,Tim Clark - President of Emirates Airlines,,7,2012,,T5246,37092,1,2,,c7aff07b7db42f487b5140c27147c81b
156252,Hessens schönste Kurbäder,,7,2008,,H2525,156245,,,,7f2b20a949126b467c108dc7cf39cd86
126955,(1977-03-05),,7,1977,,,126283,,,,8f3513eb2fc28323132d57e3031c87ed
189047,(2012-11-03),,7,2012,,,189008,,,,7695346a1d35b27aae96ab11ce087910
2903,(2002-06-29),,7,2002,,,2894,,,,bca48eae0eeae88dc3c9cf68a0294d1d
11566,(#1.8),,7,2012,,,11555,1,8,,ff1f7f30f7745185cc132faebf6ff616
160794,Self-Awareness as a Soldier! Strength Lies in the Pure Heart,,7,1995,,S4165,160772,1,38,,eb32612a744424c3b79a8959c48aa89b
62387,The Breaking Point/Working Class People/The Voter's Choice: Part 3,,7,1990,,B6252,62368,3,3,,8cc4d380db8007ade9ba56c1ae425a4f
85015,(#1.190),,7,2002,,,84913,1,190,,1ad2308948521ed682e17c0c6c3443cf
81082,The Weight: Part 1,,7,2004,,W2316,80989,5,1,,30a18346d8c8e0c540c8f551c50da699
91059,Osa 118. Kimonkylän taidekoti,,7,2003,,O2524,91033,16,15,,c519b9b1181c5ada819404719b376e9a
182150,Los capos no mueren,,7,1992,,C1256,182140,1,11,,90496f4ca68c6fe18066938defecb600
144818,Cousin und Cousine,,7,2002,,C2532,144806,1,21,,698d9f1c3022fcbc307ee890e82aebed
188109,Gun-Talk,,7,1956,,G5342,188095,2,15,,0562f67fc2f5faf224b877abecbf0258
194163,(#1.6),,7,1994,,,194139,1,6,,123158ec8fade1f19f91e4dfc615dc38
185522,Nanny from Heaven,,7,1989,,N5165,185452,5,14,,39ec26fcbd767580e3045df9e5f749ab
116833,Halve Finale #1,,7,2009,,H4154,116831,1,1,,82fec9563ad32c9451c2a17c47179a12
10794,Guilt-Free Pub Grub,,7,2010,,G4316,10671,,,,1d7f1a5e32af5177ae5b111938785489
152481,(#3.11),,7,2002,,,152267,3,11,,586cdbb346ba263aceb7850a6edb1efe
33079,Cloned Puppies: A New Generation of 'Trakrs',,7,2009,,C4531,32442,,,,e13740a30a18f2fadd9b0883acf2129f
7310,Adults Only 20 to 1: World's Sexiest Scandals,,7,2010,,A3432,7301,9,2,,194dad479c29213396da565071a65d02
18390,All That Jasmine,,7,1994,,A4325,18389,1,5,,3bc9caa126ef9513b79e850b9ef8be71
126091,(#5.8),,7,2009,,,126014,5,8,,2c6e41a60e9c16fc565af9fe67593a15
20232,Baby Manning,,7,1998,,B152,20037,,,,825389d4e35f378f950238020942782e
134182,(2010-07-27),,7,2010,,,134128,,,,2e3e5afc8e111eacd98699c6f28d444b
192882,Solo de flûte,,7,2006,,S4314,192835,1,11,,87d600911ba20aa46778f322eadaaec0
59538,(2002-02-09),,7,2002,,,59480,,,,f1a0a17ab85d025061f63ae22b53a686
95727,Érase un negocio,,7,2004,,R252,95690,2,3,,52e5bc0c77f0b064ff11cd7c721076d7
99644,Peru to Brazil,,7,,,P6316,99633,1,1,,a2a3f9a9dfaa6c23ec1d96cff3d43711
60770,Blutsbande,,7,2006,,B4321,60768,1,7,,f26233762bac22bbe9d74be23a88cd6b
6883,(1999-01-09),,7,1999,,,6845,,,,3805102536744e2cc28ccc0dc69b2fac
11306,Amande,,7,,,A53,11299,1,29,,fc10451a055daf0c1996ba919c84cbd3
101193,Squeeze Rockin' Freak Painting or Pumpkin Pies Plymptoon,,7,2006,,S2625,101172,2,1,,cf30dbefb48c6a3de8c9797a1e498dd5
133148,Did You Win?,,7,2012,,D35,133147,1,13,,0f718d7ed363df8564c2a5768a485e73
183966,Boys and Girls Together Again,,7,1992,,B2532,183962,1,15,,201d7f0dddc87b03dd164bd40fd488a3
86817,(1982-07-30),,7,1982,,,86671,,,,feb3c50a56d633597ca86ecc6f048b42
16604,The Next First Lady?/Here Comes the Girls/Toni Morrison,,7,1999,,N2316,15711,31,20,,6385686401009aa7277c38cea7db489c
125298,The Awakening,,7,2012,,A252,125231,2,69,,f6b66de1cf236137940c5f4f1c75585c
168637,The Entertainer,,7,1993,,E5363,168611,1,23,,7643c6f1545f8e70f2baf95fca2394c2
