6010,U.S.S. Soldier,,,U2436,S436,ff2690cc3b3b8486ecc17fc597bc9d47
98533,Chris Teigler,,,C6232,T246,3b77037f2161dae4d2d860a2cf66291b
98721,Frankie Mulholland,,,F6525,M453,9b43f308c87dbac17adb9f4fc9137c4f
7058,Count Rood,,,C5363,R3,10c0099f53636b7a10e36ecd2b12b510
99474,Keach,,,K2,,557f7f53be50c1ee5caa2614382ec1e3
80132,Conny De Vooght,,,C5312,V23,564f5b2db807721f1aca780cd8a36ea8
70533,Dago,,,D2,,51f8743fb04cbe048a83c2c284f04392
58105,Janitor B,,,J5361,B,e74955b6a44368c7e50adb1c47155442
21899,Man mistaken for alex,,,M5232,A42,7c73d4f4faa6f1865fa5dc953fda635d
13639,Lineman,,,L5,,d1cfae873323e1bcad512d1955a2ec50
77443,Police Capt. L. Andrews,,,P4213,A5362,11f79694bb6b9db34072205dcef9f56a
26593,Aniceto Reinaga,,,A5236,R52,c48fde8ad351488e1d7331decc21e9ad
39507,Bishop Vick,,,B212,V2,dce8f5f0315d78247d64308e351a8b87
82239,John Cooke,,,J52,C2,e2741293c2b7bddd5ef4a9b8212c4226
83754,Alphonse Molaere,,,A4152,M46,206e88e97e3978bfaff0145090903f49
98256,Mario del Valle,,,M6341,V4,580724a6e4344b7bccc96d88c5ac7b7c
24289,President of Handloom Cooperative Society,,,P6235,S23,8fc8d140c869eda53d19ee0983d19705
25993,Tony Merino,,,T565,M65,7536c523b50af622704d083768dc5f3e
50591,Billy Wells,,,B42,W42,a01f0cb63e5e88e5f989a964d311defc
4612,Valli,,,V4,,c789292b92e12755d3a179d4aab186be
81136,Dead Hero,,,D36,H6,d71504feaff7b72362f9618a2876be16
98179,Himself - Nominee: Best Director & Best Original Screenplay,,,H5241,S2651,bf4ab0caac76ef3a1e1c945a064b87f7
35264,Blade,,,B43,,1ea52f26e7e0ce08e462f87f5e35096c
37373,Signor Scaletti,,,S2562,S243,401dc96a8b6b7a88d83c16f2d2e0ac09
53647,Chief Allen,,,C145,A45,0225c186ea8b91215d479f0024b41642
48181,Morten,,,M635,,6bc257998218d754b679634e8e30736f
94342,Mortel,,,M634,,5c0d1897a4ef0d5315d6a3d793cb5048
33601,Gärtner,,,G6356,,92a19a6845a0c9de167ee9fca75383c2
37863,Dave Jarrett,,,D1263,J63,e3f173370152176743d0503a23aced42
70500,Ward Ackerman,,,W6326,A265,aae318f43c6188388d8ae232bf290883
99440,Stanley Bowers,,,S3541,B62,a15a7c299b5fa948ff783d21acad7fcf
42636,Rich Dickson,,,R2325,D25,95a14a04e17b0e4300a400905683221f
75151,Motorcycle Man,,,M3624,M5,95dac51662dde53612440a8972b61fd4
46041,Sack,,,S2,,3f2a09929a97815b0c7aea3839b088eb
7848,Mr. Shyam Lal,,,M6254,L4,3d0b894dba771e8a4433cb0bcc5fe74d
73458,Company Dancer,,,C5153,D526,777904e4085966ae00d84495cc591ce1
78848,Conseiller,,,C5246,,a8a85825e685d0f7b0900bc3cabf3daa
83391,Humbolt the Clown,,,H5143,C45,8c7cdbd3beff09ee56be7a83d77bfe56
13545,Sgt. Topps,,,S2312,T12,f46a6b85310f6a190310dad45b48ca69
80564,Angry Associate,,,A5262,A23,ace7065eaf61a90cbf1424eaac042593
7097,Benny's best man,,,B5212,M5,1e5cfa37c7e8a6ca270e4b53ba8652be
77770,Jeff Andrews,,,J1536,A5362,6842dee405f66d0434f73913a8571ef2
8634,Younger Man,,,Y5265,M5,f33fc7bdd29cc7b25a154889b23df5ac
28977,Lapsi orpokodissa,,,L1261,O6123,637536492fce7d2e1236c79f8ffc0711
35920,Tomar-Re,,,T56,,4a3dc119ac0b1324615d934a8edc204d
92738,Bassanio,,,B25,,8236574727ffd41239e5729259e5c5f6
89307,Lanoix,,,L52,,da56fb39bf89855ed15bb568c364cf7c
36529,Harvard Student,,,H6163,S353,9ba6cd0b0678c852a8e723f4486ae831
66492,Adjudant,,,A3235,,a8029897f31f06c11c5db6523c3535c7
3599,Paul Graham,,,P4265,G65,b5f430e2089ef6b4181c8c5db9c1f051
77562,Sgt. Drake,,,S2362,D62,662d515bd8a6da73e74ac451eea7710c
23498,Buddy Amaral,,,B3564,A564,3de167dd2aa4bfe5ae4a3ad04e4531cb
36381,Colon the Clown,,,C4532,C45,893add6867724c47cef94eef68bd05bb
1614,Sebastián,,,S1235,,40c91ac55bd78297554a38cafa065f07
49960,Narkopolitseinik,,,N6214,,f408645106a848438d81e1577ce94c65
33175,Officer Charles Stacy,,,O1262,S32,27cdc597bfa4d8f594171cd5e968cf50
1849,Jim Ortega,,,J5632,O632,93774be049d107b70871c9c9e7ec4332
49395,Himself - New York Mets First Base Coach,,,H5241,C2,4d6a4be0f30bb554e26582a66b5a7bbe
44907,Man with the train,,,M5365,T65,371963ffbd478f15794942a1df5492a6
90927,Tônosuke Ibuki,,,T5212,I12,79a1f24682e0e8075a05161acf2a4148
36725,Agent Type,,,A2531,T1,aed7840aabfaddc2b9d427a53d36c15f
82908,Paul Springfield P.I.,,,P4216,P,4d8c3197746849cd953e568ccee3a050
88338,Demon Soldier,,,D5243,S436,b603331a471ad6a65367a3f7c296489a
71979,2nd Deputy,,,N313,D13,a8c2e6f6e183b586e11380857a9698de
8192,Orderly,,,O6364,,423ccc3106f9ea26a8473f2eb7f37bac
16661,Andy - Safe Company Foreman,,,A5321,F65,7453cf350e32f4b660eecd7e391d9e08
65511,Dead Alien,,,D345,A45,2ae8a999fc428bd8786e69db2c95ff61
20447,Un clochard,,,U5242,C4263,8e08e814a42198851ac11f48ea363567
96955,Pastry Cook,,,P2362,C2,406a6e8cc1b6b6ca8612312eae7c88cd
5445,Heiner,,,H56,,750041db7874760997b5f364ea8a57b9
97421,Mike Harris,,,M262,H62,48b16920e070e2bed2f3861c913eb3d2
19680,Sheriff Brennan,,,S6165,B65,7d9f56e0155fe920ac91d219af8ba658
3118,Himself - Guest Commentator,,,H5241,C536,e3a370263ed0c893c560247e70ab570e
96996,Scott Kayle,,,S2324,K4,1b4ba56b993e68fe6b4be9585cb45e2f
6976,Herne the Hunter,,,H6535,H536,5738c2dc402ed44e3a302b39b966bcb6
3040,Cuthbert Greenway,,,C3163,G65,74b95f332714729fce592bac7928327c
10343,Photojournalist,,,P3265,,e1e27a6b79bcd776c7a9b7d3cba39866
28073,The Man of Today,,,T513,T3,a33dae9c79d10bfe0485a5ffa3220dea
12174,Sir Robert Beste,,,S6163,B23,466f729e3fa8819ae1ec74db86493d84
98754,Himself - US Deputy Secretary of State,,,H5241,S3,6a1a79a26c3765d6eb0a09192f083421
82706,Rafael Torrez,,,R1436,T62,ccc02e76ef2cc07a1893f8db20801190
40653,Featherd,,,F363,,022d77f63b0aa68e49e53acd4b9c7279
150,Kab 101,,,K1,,1271557a3954a37722c72809affb70a2
21585,Jesse Boone,,,J215,B5,d857a532fa5685bfc52171b5fb905c51
45026,Band leader,,,B5343,L36,085d087232622d56085e602b3117c85e
20492,Man in Police Station,,,M5142,S35,2d69373823e8681d11d73da6b0b90827
63321,Dimeglio,,,D524,,0d455973a6fb7c7e748f45896fec9c7c
91994,Vern Walker,,,V6542,W426,b2ae06a08e6f1b9f255fb4c8e6f5f9b3
16552,Harvey,,,H61,,25c0f70d3b669f0400b5733433b5a2cb
27441,Ylivartija,,,Y4163,,2e959158a4cf3ed8597e3be4fe7c175f
77638,Josh Blaine,,,J2145,B45,fe689d57ba9bad81c16e30e9f30c9cc7
55003,Playing Child #1,,,P4524,,93a58f40c428690dce19c74ae3950a2c
49267,Relator,,,R436,,6465fa4b34e57eaee302423e9af02fff
59787,Rajiv's Father,,,R2121,F36,d7878616f7ece795bc336616416d8d3d
37603,Martin Barret,,,M6351,B63,4c8010ccc406d74a20debb75b701b9bd
37353,Juan Castinado,,,J5235,C2353,29f1f1f492384dc6577985ec01d316e0
67285,Police Inspector beating Heera & Moti,,,P4252,M3,8a9a064e2877b0a88de62faf6fc52774
36481,Emmanuel Linum,,,E545,L5,301872c1ad2b8e6cc5cd43cc0cb07b20
28155,Abdel Samad,,,A1342,S53,d71f927503e9fd44c0c7659a159d667a
27378,Árbol,,,R14,,a61ee03859e1dc9664d4f6ae90dcd68c
90121,Sulo Riippa,,,S461,R1,cd44d334ad612d869608393c7e295a62
216,Vernon,,,V65,,b928a50c7e877267d29c7f20d01668fb
94793,Moritz Morris,,,M6325,M62,6b3064ce166646b06d511ca023aea5cd
14983,Second Usher,,,S2532,U26,5c45929b946b66c4464b38c98e0cf0ac
95577,Dick Wilkins,,,D2425,W4252,28c7b88ddf7dafe7427da177654e490b
72123,The Botanist,,,T1352,B3523,31e823e4eb885ad62b069dbae9e7158b
75226,Nicky Alexiou,,,N242,A42,7ad939f71ac2bc15f651a408c7586105
24583,Duvel,,,D14,,b028e3bedf4d980da5aca694ce86554e
